,Compound,Data,negative,neutral,positive,tweets_ago
0,-0.802,Sat Dec 02 05:40:17 +0000 2017,0.419,0.581,0.0,1
1,0.0,Sat Dec 02 04:52:33 +0000 2017,0.0,1.0,0.0,2
2,-0.9001,Sat Dec 02 02:36:05 +0000 2017,0.647,0.353,0.0,3
3,-0.6486,Sat Dec 02 02:22:06 +0000 2017,0.301,0.699,0.0,4
4,-0.6808,Sat Dec 02 01:20:51 +0000 2017,0.365,0.635,0.0,5
5,0.0,Sat Dec 02 01:05:54 +0000 2017,0.0,1.0,0.0,6
6,-0.5859,Sat Dec 02 01:05:54 +0000 2017,0.352,0.648,0.0,7
7,0.25,Sat Dec 02 01:02:22 +0000 2017,0.0,0.778,0.222,8
8,0.0,Fri Dec 01 23:54:29 +0000 2017,0.0,1.0,0.0,9
9,-0.6249,Fri Dec 01 23:50:33 +0000 2017,0.421,0.579,0.0,10
10,0.0,Fri Dec 01 22:34:03 +0000 2017,0.0,1.0,0.0,11
11,-0.6908,Fri Dec 01 22:14:59 +0000 2017,0.299,0.701,0.0,12
12,0.0,Fri Dec 01 22:14:54 +0000 2017,0.0,1.0,0.0,13
13,0.0,Fri Dec 01 22:14:54 +0000 2017,0.0,1.0,0.0,14
14,0.0,Fri Dec 01 22:14:49 +0000 2017,0.0,1.0,0.0,15
15,-0.34,Fri Dec 01 22:10:39 +0000 2017,0.255,0.745,0.0,16
16,0.0,Fri Dec 01 22:01:08 +0000 2017,0.0,1.0,0.0,17
17,0.25,Fri Dec 01 22:00:47 +0000 2017,0.0,0.931,0.069,18
18,0.4404,Fri Dec 01 22:00:43 +0000 2017,0.0,0.868,0.132,19
19,0.0,Fri Dec 01 22:00:37 +0000 2017,0.0,1.0,0.0,20
20,-0.802,Sat Dec 02 05:40:17 +0000 2017,0.419,0.581,0.0,21
21,0.0,Sat Dec 02 04:52:33 +0000 2017,0.0,1.0,0.0,22
22,-0.9001,Sat Dec 02 02:36:05 +0000 2017,0.647,0.353,0.0,23
23,-0.6486,Sat Dec 02 02:22:06 +0000 2017,0.301,0.699,0.0,24
24,-0.6808,Sat Dec 02 01:20:51 +0000 2017,0.365,0.635,0.0,25
25,0.0,Sat Dec 02 01:05:54 +0000 2017,0.0,1.0,0.0,26
26,-0.5859,Sat Dec 02 01:05:54 +0000 2017,0.352,0.648,0.0,27
27,0.25,Sat Dec 02 01:02:22 +0000 2017,0.0,0.778,0.222,28
28,0.0,Fri Dec 01 23:54:29 +0000 2017,0.0,1.0,0.0,29
29,-0.6249,Fri Dec 01 23:50:33 +0000 2017,0.421,0.579,0.0,30
30,0.0,Fri Dec 01 22:34:03 +0000 2017,0.0,1.0,0.0,31
31,-0.6908,Fri Dec 01 22:14:59 +0000 2017,0.299,0.701,0.0,32
32,0.0,Fri Dec 01 22:14:54 +0000 2017,0.0,1.0,0.0,33
33,0.0,Fri Dec 01 22:14:54 +0000 2017,0.0,1.0,0.0,34
34,0.0,Fri Dec 01 22:14:49 +0000 2017,0.0,1.0,0.0,35
35,-0.34,Fri Dec 01 22:10:39 +0000 2017,0.255,0.745,0.0,36
36,0.0,Fri Dec 01 22:01:08 +0000 2017,0.0,1.0,0.0,37
37,0.25,Fri Dec 01 22:00:47 +0000 2017,0.0,0.931,0.069,38
38,0.4404,Fri Dec 01 22:00:43 +0000 2017,0.0,0.868,0.132,39
39,0.0,Fri Dec 01 22:00:37 +0000 2017,0.0,1.0,0.0,40
40,-0.5994,Fri Dec 01 21:52:28 +0000 2017,0.231,0.769,0.0,41
41,-0.7906,Fri Dec 01 21:52:24 +0000 2017,0.318,0.682,0.0,42
42,-0.7351,Fri Dec 01 21:52:22 +0000 2017,0.341,0.659,0.0,43
43,0.4588,Fri Dec 01 20:57:57 +0000 2017,0.0,0.812,0.188,44
44,0.0,Fri Dec 01 20:57:27 +0000 2017,0.0,1.0,0.0,45
45,0.0,Fri Dec 01 20:53:53 +0000 2017,0.0,1.0,0.0,46
46,0.4019,Fri Dec 01 20:06:23 +0000 2017,0.0,0.861,0.139,47
47,0.0,Fri Dec 01 20:05:53 +0000 2017,0.0,1.0,0.0,48
48,-0.8074,Fri Dec 01 20:02:31 +0000 2017,0.549,0.451,0.0,49
49,0.4215,Fri Dec 01 19:31:53 +0000 2017,0.0,0.741,0.259,50
50,-0.5267,Fri Dec 01 18:37:43 +0000 2017,0.207,0.793,0.0,51
51,0.0,Fri Dec 01 17:49:56 +0000 2017,0.0,1.0,0.0,52
52,0.3182,Fri Dec 01 17:29:17 +0000 2017,0.0,0.892,0.108,53
53,0.3182,Fri Dec 01 17:27:37 +0000 2017,0.0,0.753,0.247,54
54,0.2263,Fri Dec 01 17:15:34 +0000 2017,0.0,0.917,0.083,55
55,0.0,Fri Dec 01 16:52:11 +0000 2017,0.0,1.0,0.0,56
56,0.0,Fri Dec 01 16:49:53 +0000 2017,0.0,1.0,0.0,57
57,0.0,Fri Dec 01 16:31:25 +0000 2017,0.0,1.0,0.0,58
58,0.0,Fri Dec 01 16:31:01 +0000 2017,0.0,1.0,0.0,59
59,0.34,Fri Dec 01 16:15:29 +0000 2017,0.0,0.821,0.179,60
60,0.0,Fri Dec 01 16:14:25 +0000 2017,0.0,1.0,0.0,61
61,0.0,Fri Dec 01 16:03:34 +0000 2017,0.0,1.0,0.0,62
62,0.0,Fri Dec 01 15:43:39 +0000 2017,0.0,1.0,0.0,63
63,0.6355,Fri Dec 01 15:43:11 +0000 2017,0.0,0.68,0.32,64
64,0.0,Fri Dec 01 15:27:37 +0000 2017,0.0,1.0,0.0,65
65,-0.296,Fri Dec 01 15:26:50 +0000 2017,0.18,0.82,0.0,66
66,0.0,Fri Dec 01 15:01:29 +0000 2017,0.0,1.0,0.0,67
67,0.0,Fri Dec 01 15:00:24 +0000 2017,0.0,1.0,0.0,68
68,0.0,Fri Dec 01 15:00:10 +0000 2017,0.0,1.0,0.0,69
69,0.0,Fri Dec 01 14:49:10 +0000 2017,0.0,1.0,0.0,70
70,0.1531,Fri Dec 01 14:23:06 +0000 2017,0.089,0.792,0.119,71
71,0.0,Fri Dec 01 14:09:53 +0000 2017,0.0,1.0,0.0,72
72,0.0,Fri Dec 01 14:09:23 +0000 2017,0.0,1.0,0.0,73
73,0.0,Fri Dec 01 13:55:18 +0000 2017,0.0,1.0,0.0,74
74,-0.3818,Fri Dec 01 13:34:27 +0000 2017,0.286,0.714,0.0,75
75,-0.5411,Fri Dec 01 13:22:19 +0000 2017,0.249,0.643,0.108,76
76,0.0,Fri Dec 01 13:08:02 +0000 2017,0.0,1.0,0.0,77
77,0.0,Fri Dec 01 13:00:57 +0000 2017,0.0,1.0,0.0,78
78,0.0,Fri Dec 01 12:57:56 +0000 2017,0.0,1.0,0.0,79
79,-0.765,Fri Dec 01 12:33:03 +0000 2017,0.394,0.512,0.094,80
80,-0.3612,Fri Dec 01 12:11:37 +0000 2017,0.238,0.762,0.0,81
81,-0.8176,Fri Dec 01 12:11:37 +0000 2017,0.484,0.516,0.0,82
82,0.0,Fri Dec 01 11:54:14 +0000 2017,0.0,1.0,0.0,83
