,Compound,Data,negative,neutral,positive,tweets_ago
0,0.0,Sat Dec 02 06:03:06 +0000 2017,0.0,1.0,0.0,1
1,-0.7351,Sat Dec 02 05:48:05 +0000 2017,0.323,0.677,0.0,2
2,0.0,Sat Dec 02 05:33:05 +0000 2017,0.0,1.0,0.0,3
3,-0.0772,Sat Dec 02 05:18:07 +0000 2017,0.08,0.92,0.0,4
4,0.5719,Sat Dec 02 05:03:07 +0000 2017,0.0,0.802,0.198,5
5,-0.5859,Sat Dec 02 04:56:03 +0000 2017,0.304,0.696,0.0,6
6,0.0,Sat Dec 02 04:48:05 +0000 2017,0.0,1.0,0.0,7
7,0.0,Sat Dec 02 04:33:04 +0000 2017,0.0,1.0,0.0,8
8,-0.296,Sat Dec 02 04:18:05 +0000 2017,0.115,0.885,0.0,9
9,-0.34,Sat Dec 02 04:03:05 +0000 2017,0.13,0.87,0.0,10
10,-0.296,Sat Dec 02 03:58:06 +0000 2017,0.18,0.82,0.0,11
11,0.6124,Sat Dec 02 03:40:01 +0000 2017,0.0,0.762,0.238,12
12,0.0,Sat Dec 02 03:20:01 +0000 2017,0.0,1.0,0.0,13
13,-0.4588,Sat Dec 02 03:00:24 +0000 2017,0.286,0.714,0.0,14
14,0.4678,Sat Dec 02 03:00:01 +0000 2017,0.0,0.845,0.155,15
15,-0.3384,Sat Dec 02 02:40:01 +0000 2017,0.138,0.862,0.0,16
16,-0.2732,Sat Dec 02 02:20:01 +0000 2017,0.198,0.66,0.142,17
17,-0.1531,Sat Dec 02 02:00:02 +0000 2017,0.147,0.734,0.119,18
18,-0.7351,Sat Dec 02 01:40:03 +0000 2017,0.267,0.733,0.0,19
19,-0.5106,Sat Dec 02 01:25:27 +0000 2017,0.163,0.837,0.0,20
20,0.0,Sat Dec 02 06:03:06 +0000 2017,0.0,1.0,0.0,21
21,-0.7351,Sat Dec 02 05:48:05 +0000 2017,0.323,0.677,0.0,22
22,0.0,Sat Dec 02 05:33:05 +0000 2017,0.0,1.0,0.0,23
23,-0.0772,Sat Dec 02 05:18:07 +0000 2017,0.08,0.92,0.0,24
24,0.5719,Sat Dec 02 05:03:07 +0000 2017,0.0,0.802,0.198,25
25,-0.5859,Sat Dec 02 04:56:03 +0000 2017,0.304,0.696,0.0,26
26,0.0,Sat Dec 02 04:48:05 +0000 2017,0.0,1.0,0.0,27
27,0.0,Sat Dec 02 04:33:04 +0000 2017,0.0,1.0,0.0,28
28,-0.296,Sat Dec 02 04:18:05 +0000 2017,0.115,0.885,0.0,29
29,-0.34,Sat Dec 02 04:03:05 +0000 2017,0.13,0.87,0.0,30
30,-0.296,Sat Dec 02 03:58:06 +0000 2017,0.18,0.82,0.0,31
31,0.6124,Sat Dec 02 03:40:01 +0000 2017,0.0,0.762,0.238,32
32,0.0,Sat Dec 02 03:20:01 +0000 2017,0.0,1.0,0.0,33
33,-0.4588,Sat Dec 02 03:00:24 +0000 2017,0.286,0.714,0.0,34
34,0.4678,Sat Dec 02 03:00:01 +0000 2017,0.0,0.845,0.155,35
35,-0.3384,Sat Dec 02 02:40:01 +0000 2017,0.138,0.862,0.0,36
36,-0.2732,Sat Dec 02 02:20:01 +0000 2017,0.198,0.66,0.142,37
37,-0.1531,Sat Dec 02 02:00:02 +0000 2017,0.147,0.734,0.119,38
38,-0.7351,Sat Dec 02 01:40:03 +0000 2017,0.267,0.733,0.0,39
39,-0.5106,Sat Dec 02 01:25:27 +0000 2017,0.163,0.837,0.0,40
40,-0.1531,Sat Dec 02 01:20:02 +0000 2017,0.082,0.918,0.0,41
41,-0.296,Sat Dec 02 01:00:02 +0000 2017,0.104,0.896,0.0,42
42,0.2263,Sat Dec 02 00:40:02 +0000 2017,0.119,0.638,0.243,43
43,0.5267,Sat Dec 02 00:20:01 +0000 2017,0.0,0.833,0.167,44
44,-0.4471,Sat Dec 02 00:12:29 +0000 2017,0.188,0.812,0.0,45
45,-0.296,Sat Dec 02 00:06:00 +0000 2017,0.087,0.913,0.0,46
46,0.4749,Sat Dec 02 00:03:05 +0000 2017,0.087,0.699,0.214,47
47,0.0,Sat Dec 02 00:02:08 +0000 2017,0.0,1.0,0.0,48
48,0.4588,Sat Dec 02 00:00:39 +0000 2017,0.0,0.8,0.2,49
49,-0.296,Fri Dec 01 23:48:05 +0000 2017,0.104,0.896,0.0,50
50,-0.1779,Fri Dec 01 23:46:17 +0000 2017,0.138,0.753,0.109,51
51,-0.6124,Fri Dec 01 23:45:32 +0000 2017,0.281,0.614,0.105,52
52,0.0,Fri Dec 01 23:43:48 +0000 2017,0.0,1.0,0.0,53
53,0.0,Fri Dec 01 23:42:29 +0000 2017,0.0,1.0,0.0,54
54,0.3182,Fri Dec 01 23:41:04 +0000 2017,0.0,0.892,0.108,55
55,0.0,Fri Dec 01 23:38:39 +0000 2017,0.0,1.0,0.0,56
56,0.0,Fri Dec 01 23:35:19 +0000 2017,0.0,1.0,0.0,57
57,-0.4215,Fri Dec 01 23:33:59 +0000 2017,0.128,0.872,0.0,58
58,0.4404,Fri Dec 01 23:31:00 +0000 2017,0.0,0.884,0.116,59
59,-0.7579,Fri Dec 01 23:25:01 +0000 2017,0.289,0.711,0.0,60
60,0.0,Fri Dec 01 23:10:32 +0000 2017,0.0,1.0,0.0,61
61,-0.3818,Fri Dec 01 23:10:01 +0000 2017,0.223,0.67,0.107,62
62,0.0,Fri Dec 01 23:05:19 +0000 2017,0.0,1.0,0.0,63
63,0.128,Fri Dec 01 22:50:01 +0000 2017,0.0,0.923,0.077,64
64,0.7003,Fri Dec 01 22:39:34 +0000 2017,0.0,0.688,0.312,65
65,0.0,Fri Dec 01 22:20:01 +0000 2017,0.0,1.0,0.0,66
66,-0.296,Fri Dec 01 22:12:01 +0000 2017,0.104,0.896,0.0,67
67,-0.296,Fri Dec 01 22:10:37 +0000 2017,0.104,0.896,0.0,68
68,0.0,Fri Dec 01 21:51:05 +0000 2017,0.0,1.0,0.0,69
69,0.0,Fri Dec 01 21:45:02 +0000 2017,0.0,1.0,0.0,70
70,0.4019,Fri Dec 01 21:27:30 +0000 2017,0.106,0.603,0.291,71
71,-0.4019,Fri Dec 01 21:11:00 +0000 2017,0.233,0.59,0.177,72
72,0.4404,Fri Dec 01 20:52:59 +0000 2017,0.0,0.754,0.246,73
73,-0.7574,Fri Dec 01 20:30:41 +0000 2017,0.255,0.745,0.0,74
74,0.0,Fri Dec 01 20:10:01 +0000 2017,0.0,1.0,0.0,75
75,-0.2263,Fri Dec 01 19:55:01 +0000 2017,0.101,0.899,0.0,76
76,-0.34,Fri Dec 01 19:45:59 +0000 2017,0.098,0.902,0.0,77
77,-0.4939,Fri Dec 01 19:40:01 +0000 2017,0.158,0.842,0.0,78
78,0.0,Fri Dec 01 19:25:32 +0000 2017,0.0,1.0,0.0,79
79,0.0,Fri Dec 01 19:06:31 +0000 2017,0.0,1.0,0.0,80
80,0.0,Fri Dec 01 18:56:46 +0000 2017,0.0,1.0,0.0,81
81,0.0,Fri Dec 01 18:55:13 +0000 2017,0.0,1.0,0.0,82
82,0.4404,Fri Dec 01 18:54:03 +0000 2017,0.0,0.879,0.121,83
83,-0.4215,Fri Dec 01 18:52:31 +0000 2017,0.123,0.877,0.0,84
84,-0.9186,Fri Dec 01 18:40:01 +0000 2017,0.464,0.536,0.0,85
85,-0.6369,Fri Dec 01 18:25:02 +0000 2017,0.286,0.714,0.0,86
86,0.25,Fri Dec 01 18:10:44 +0000 2017,0.121,0.682,0.197,87
87,-0.1942,Fri Dec 01 18:02:33 +0000 2017,0.085,0.915,0.0,88
88,-0.1796,Fri Dec 01 18:02:04 +0000 2017,0.112,0.803,0.084,89
89,-0.5423,Fri Dec 01 17:58:58 +0000 2017,0.179,0.821,0.0,90
90,0.0,Fri Dec 01 17:42:01 +0000 2017,0.083,0.833,0.083,91
91,0.3612,Fri Dec 01 17:36:54 +0000 2017,0.0,0.865,0.135,92
92,0.4939,Fri Dec 01 17:31:50 +0000 2017,0.0,0.856,0.144,93
93,-0.296,Fri Dec 01 17:27:15 +0000 2017,0.115,0.885,0.0,94
94,0.0,Fri Dec 01 17:24:15 +0000 2017,0.0,1.0,0.0,95
95,0.516,Fri Dec 01 17:21:08 +0000 2017,0.117,0.627,0.256,96
96,-0.4471,Fri Dec 01 17:14:51 +0000 2017,0.197,0.803,0.0,97
97,-0.7351,Fri Dec 01 16:48:21 +0000 2017,0.246,0.754,0.0,98
98,-0.0516,Fri Dec 01 16:45:42 +0000 2017,0.115,0.779,0.107,99
99,-0.6369,Fri Dec 01 16:37:38 +0000 2017,0.224,0.776,0.0,100
