,Compound,Data,negative,neutral,positive,tweets_ago
0,-0.0516,Sat Dec 02 06:00:18 +0000 2017,0.124,0.762,0.114,1
1,0.0,Sat Dec 02 05:30:06 +0000 2017,0.0,1.0,0.0,2
2,0.0,Sat Dec 02 05:20:17 +0000 2017,0.0,1.0,0.0,3
3,0.0,Sat Dec 02 05:02:41 +0000 2017,0.0,1.0,0.0,4
4,0.0,Sat Dec 02 04:30:07 +0000 2017,0.0,1.0,0.0,5
5,0.4939,Sat Dec 02 04:00:07 +0000 2017,0.0,0.775,0.225,6
6,0.0772,Sat Dec 02 03:30:22 +0000 2017,0.093,0.802,0.105,7
7,0.1779,Sat Dec 02 03:00:18 +0000 2017,0.0,0.825,0.175,8
8,0.0,Sat Dec 02 02:50:05 +0000 2017,0.0,1.0,0.0,9
9,-0.8885,Sat Dec 02 02:40:06 +0000 2017,0.404,0.596,0.0,10
10,0.0,Sat Dec 02 02:30:06 +0000 2017,0.0,1.0,0.0,11
11,-0.6249,Sat Dec 02 02:20:01 +0000 2017,0.313,0.687,0.0,12
12,0.0,Sat Dec 02 02:10:04 +0000 2017,0.0,1.0,0.0,13
13,0.0,Sat Dec 02 02:00:27 +0000 2017,0.0,1.0,0.0,14
14,0.4019,Sat Dec 02 01:50:04 +0000 2017,0.0,0.816,0.184,15
15,0.0,Sat Dec 02 01:40:03 +0000 2017,0.0,1.0,0.0,16
16,0.0,Sat Dec 02 01:30:07 +0000 2017,0.0,1.0,0.0,17
17,0.4019,Sat Dec 02 01:22:50 +0000 2017,0.0,0.856,0.144,18
18,-0.4215,Sat Dec 02 01:20:10 +0000 2017,0.219,0.781,0.0,19
19,0.0,Sat Dec 02 01:10:11 +0000 2017,0.0,1.0,0.0,20
20,-0.0516,Sat Dec 02 06:00:18 +0000 2017,0.124,0.762,0.114,21
21,0.0,Sat Dec 02 05:30:06 +0000 2017,0.0,1.0,0.0,22
22,0.0,Sat Dec 02 05:20:17 +0000 2017,0.0,1.0,0.0,23
23,0.0,Sat Dec 02 05:02:41 +0000 2017,0.0,1.0,0.0,24
24,0.0,Sat Dec 02 04:30:07 +0000 2017,0.0,1.0,0.0,25
25,0.4939,Sat Dec 02 04:00:07 +0000 2017,0.0,0.775,0.225,26
26,0.0772,Sat Dec 02 03:30:22 +0000 2017,0.093,0.802,0.105,27
27,0.1779,Sat Dec 02 03:00:18 +0000 2017,0.0,0.825,0.175,28
28,0.0,Sat Dec 02 02:50:05 +0000 2017,0.0,1.0,0.0,29
29,-0.8885,Sat Dec 02 02:40:06 +0000 2017,0.404,0.596,0.0,30
30,0.0,Sat Dec 02 02:30:06 +0000 2017,0.0,1.0,0.0,31
31,-0.6249,Sat Dec 02 02:20:01 +0000 2017,0.313,0.687,0.0,32
32,0.0,Sat Dec 02 02:10:04 +0000 2017,0.0,1.0,0.0,33
33,0.0,Sat Dec 02 02:00:27 +0000 2017,0.0,1.0,0.0,34
34,0.4019,Sat Dec 02 01:50:04 +0000 2017,0.0,0.816,0.184,35
35,0.0,Sat Dec 02 01:40:03 +0000 2017,0.0,1.0,0.0,36
36,0.0,Sat Dec 02 01:30:07 +0000 2017,0.0,1.0,0.0,37
37,0.4019,Sat Dec 02 01:22:50 +0000 2017,0.0,0.856,0.144,38
38,-0.4215,Sat Dec 02 01:20:10 +0000 2017,0.219,0.781,0.0,39
39,0.0,Sat Dec 02 01:10:11 +0000 2017,0.0,1.0,0.0,40
40,0.0,Sat Dec 02 01:00:02 +0000 2017,0.0,1.0,0.0,41
41,0.5859,Sat Dec 02 00:50:04 +0000 2017,0.094,0.656,0.25,42
42,0.0,Sat Dec 02 00:40:09 +0000 2017,0.0,1.0,0.0,43
43,0.0,Sat Dec 02 00:30:15 +0000 2017,0.0,1.0,0.0,44
44,0.0,Sat Dec 02 00:20:09 +0000 2017,0.0,1.0,0.0,45
45,0.0,Sat Dec 02 00:10:04 +0000 2017,0.0,1.0,0.0,46
46,0.4939,Sat Dec 02 00:03:53 +0000 2017,0.0,0.814,0.186,47
47,0.7574,Sat Dec 02 00:02:03 +0000 2017,0.0,0.706,0.294,48
48,-0.6908,Fri Dec 01 23:50:05 +0000 2017,0.251,0.749,0.0,49
49,0.0258,Fri Dec 01 23:40:05 +0000 2017,0.142,0.66,0.198,50
50,0.0,Fri Dec 01 23:30:03 +0000 2017,0.0,1.0,0.0,51
51,0.4939,Fri Dec 01 23:20:06 +0000 2017,0.0,0.775,0.225,52
52,-0.5574,Fri Dec 01 23:10:07 +0000 2017,0.31,0.69,0.0,53
53,-0.34,Fri Dec 01 23:00:15 +0000 2017,0.211,0.789,0.0,54
54,0.6249,Fri Dec 01 22:50:04 +0000 2017,0.0,0.758,0.242,55
55,0.0,Fri Dec 01 22:40:06 +0000 2017,0.0,1.0,0.0,56
56,-0.6486,Fri Dec 01 22:30:07 +0000 2017,0.209,0.791,0.0,57
57,-0.2023,Fri Dec 01 22:20:08 +0000 2017,0.247,0.604,0.148,58
58,0.0772,Fri Dec 01 22:10:13 +0000 2017,0.093,0.802,0.105,59
59,0.0,Fri Dec 01 22:00:07 +0000 2017,0.0,1.0,0.0,60
60,0.7964,Fri Dec 01 21:45:13 +0000 2017,0.0,0.649,0.351,61
61,0.0,Fri Dec 01 21:32:06 +0000 2017,0.0,1.0,0.0,62
62,-0.4728,Fri Dec 01 21:25:17 +0000 2017,0.118,0.882,0.0,63
63,0.0,Fri Dec 01 21:20:07 +0000 2017,0.0,1.0,0.0,64
64,-0.8885,Fri Dec 01 21:10:07 +0000 2017,0.404,0.596,0.0,65
65,-0.2023,Fri Dec 01 20:59:45 +0000 2017,0.079,0.921,0.0,66
66,0.1779,Fri Dec 01 20:43:58 +0000 2017,0.0,0.825,0.175,67
67,0.0,Fri Dec 01 20:30:08 +0000 2017,0.0,1.0,0.0,68
68,0.2732,Fri Dec 01 20:20:11 +0000 2017,0.0,0.896,0.104,69
69,0.8074,Fri Dec 01 20:10:07 +0000 2017,0.0,0.644,0.356,70
70,-0.5859,Fri Dec 01 20:00:16 +0000 2017,0.256,0.64,0.104,71
71,0.0,Fri Dec 01 19:50:05 +0000 2017,0.0,1.0,0.0,72
72,0.765,Fri Dec 01 19:41:07 +0000 2017,0.0,0.708,0.292,73
73,-0.7506,Fri Dec 01 19:33:43 +0000 2017,0.252,0.748,0.0,74
74,-0.5859,Fri Dec 01 19:21:06 +0000 2017,0.242,0.664,0.094,75
75,0.5994,Fri Dec 01 19:11:32 +0000 2017,0.0,0.776,0.224,76
76,0.0,Fri Dec 01 19:00:17 +0000 2017,0.0,1.0,0.0,77
77,0.2023,Fri Dec 01 18:55:11 +0000 2017,0.0,0.921,0.079,78
78,0.0,Fri Dec 01 18:45:12 +0000 2017,0.0,1.0,0.0,79
79,0.3182,Fri Dec 01 18:34:06 +0000 2017,0.093,0.756,0.151,80
80,-0.3818,Fri Dec 01 18:29:23 +0000 2017,0.126,0.874,0.0,81
81,-0.4215,Fri Dec 01 18:20:23 +0000 2017,0.128,0.872,0.0,82
82,0.0,Fri Dec 01 18:16:05 +0000 2017,0.0,1.0,0.0,83
83,0.0,Fri Dec 01 18:04:04 +0000 2017,0.0,1.0,0.0,84
84,0.0,Fri Dec 01 17:52:04 +0000 2017,0.0,1.0,0.0,85
85,0.4019,Fri Dec 01 17:33:09 +0000 2017,0.0,0.863,0.137,86
86,0.0,Fri Dec 01 17:12:02 +0000 2017,0.0,1.0,0.0,87
87,0.6249,Fri Dec 01 16:56:01 +0000 2017,0.0,0.746,0.254,88
88,-0.7351,Fri Dec 01 16:50:07 +0000 2017,0.246,0.754,0.0,89
89,-0.0516,Fri Dec 01 16:47:03 +0000 2017,0.12,0.769,0.111,90
90,-0.4215,Fri Dec 01 16:28:57 +0000 2017,0.177,0.823,0.0,91
91,-0.5106,Fri Dec 01 16:21:45 +0000 2017,0.216,0.784,0.0,92
92,-0.3818,Fri Dec 01 16:15:05 +0000 2017,0.247,0.753,0.0,93
93,-0.2658,Fri Dec 01 16:08:29 +0000 2017,0.238,0.561,0.201,94
94,0.0,Fri Dec 01 15:26:11 +0000 2017,0.0,1.0,0.0,95
95,0.0,Fri Dec 01 15:25:45 +0000 2017,0.0,1.0,0.0,96
96,0.34,Fri Dec 01 15:08:56 +0000 2017,0.0,0.844,0.156,97
97,0.0,Fri Dec 01 15:05:05 +0000 2017,0.0,1.0,0.0,98
98,0.0,Fri Dec 01 15:04:06 +0000 2017,0.0,1.0,0.0,99
99,-0.4215,Fri Dec 01 14:46:26 +0000 2017,0.128,0.872,0.0,100
