,Compound,Data,negative,neutral,positive,tweets_ago
0,-0.296,Sat Dec 02 06:00:00 +0000 2017,0.155,0.845,0.0,1
1,-0.6486,Sat Dec 02 05:46:08 +0000 2017,0.301,0.699,0.0,2
2,0.0,Sat Dec 02 05:30:00 +0000 2017,0.0,1.0,0.0,3
3,0.4939,Sat Dec 02 05:00:01 +0000 2017,0.0,0.775,0.225,4
4,-0.2023,Sat Dec 02 04:38:27 +0000 2017,0.153,0.847,0.0,5
5,-0.8176,Sat Dec 02 04:25:00 +0000 2017,0.328,0.607,0.065,6
6,-0.8304,Sat Dec 02 04:12:00 +0000 2017,0.369,0.631,0.0,7
7,0.0,Sat Dec 02 03:56:43 +0000 2017,0.0,1.0,0.0,8
8,-0.2263,Sat Dec 02 03:52:17 +0000 2017,0.29,0.518,0.192,9
9,0.4215,Sat Dec 02 03:51:43 +0000 2017,0.0,0.872,0.128,10
10,0.0,Sat Dec 02 03:50:44 +0000 2017,0.0,1.0,0.0,11
11,0.4019,Sat Dec 02 03:44:43 +0000 2017,0.0,0.856,0.144,12
12,-0.3818,Sat Dec 02 03:38:20 +0000 2017,0.126,0.874,0.0,13
13,-0.296,Sat Dec 02 03:35:43 +0000 2017,0.239,0.761,0.0,14
14,0.0,Sat Dec 02 03:33:26 +0000 2017,0.0,1.0,0.0,15
15,0.0,Sat Dec 02 03:24:17 +0000 2017,0.0,1.0,0.0,16
16,-0.8304,Sat Dec 02 03:16:49 +0000 2017,0.354,0.646,0.0,17
17,-0.1531,Sat Dec 02 03:14:35 +0000 2017,0.111,0.808,0.081,18
18,-0.7096,Sat Dec 02 03:03:45 +0000 2017,0.371,0.629,0.0,19
19,0.0,Sat Dec 02 02:52:39 +0000 2017,0.0,1.0,0.0,20
20,-0.296,Sat Dec 02 06:00:00 +0000 2017,0.155,0.845,0.0,21
21,-0.6486,Sat Dec 02 05:46:08 +0000 2017,0.301,0.699,0.0,22
22,0.0,Sat Dec 02 05:30:00 +0000 2017,0.0,1.0,0.0,23
23,0.4939,Sat Dec 02 05:00:01 +0000 2017,0.0,0.775,0.225,24
24,-0.2023,Sat Dec 02 04:38:27 +0000 2017,0.153,0.847,0.0,25
25,-0.8176,Sat Dec 02 04:25:00 +0000 2017,0.328,0.607,0.065,26
26,-0.8304,Sat Dec 02 04:12:00 +0000 2017,0.369,0.631,0.0,27
27,0.0,Sat Dec 02 03:56:43 +0000 2017,0.0,1.0,0.0,28
28,-0.2263,Sat Dec 02 03:52:17 +0000 2017,0.29,0.518,0.192,29
29,0.4215,Sat Dec 02 03:51:43 +0000 2017,0.0,0.872,0.128,30
30,0.0,Sat Dec 02 03:50:44 +0000 2017,0.0,1.0,0.0,31
31,0.4019,Sat Dec 02 03:44:43 +0000 2017,0.0,0.856,0.144,32
32,-0.3818,Sat Dec 02 03:38:20 +0000 2017,0.126,0.874,0.0,33
33,-0.296,Sat Dec 02 03:35:43 +0000 2017,0.239,0.761,0.0,34
34,0.0,Sat Dec 02 03:33:26 +0000 2017,0.0,1.0,0.0,35
35,0.0,Sat Dec 02 03:24:17 +0000 2017,0.0,1.0,0.0,36
36,-0.8304,Sat Dec 02 03:16:49 +0000 2017,0.354,0.646,0.0,37
37,-0.1531,Sat Dec 02 03:14:35 +0000 2017,0.111,0.808,0.081,38
38,-0.7096,Sat Dec 02 03:03:45 +0000 2017,0.371,0.629,0.0,39
39,0.0,Sat Dec 02 02:52:39 +0000 2017,0.0,1.0,0.0,40
