,Compound,Data,negative,neutral,positive,tweets_ago
0,0.0,Sat Dec 02 06:06:03 +0000 2017,0.0,1.0,0.0,1
1,0.2023,Sat Dec 02 05:52:08 +0000 2017,0.0,0.899,0.101,2
2,0.0,Sat Dec 02 05:34:03 +0000 2017,0.0,1.0,0.0,3
3,0.0,Sat Dec 02 05:32:05 +0000 2017,0.0,1.0,0.0,4
4,0.2263,Sat Dec 02 05:19:13 +0000 2017,0.0,0.913,0.087,5
5,0.0,Sat Dec 02 05:14:09 +0000 2017,0.0,1.0,0.0,6
6,0.1531,Sat Dec 02 05:02:06 +0000 2017,0.139,0.693,0.168,7
7,-0.5106,Sat Dec 02 04:48:43 +0000 2017,0.292,0.708,0.0,8
8,0.1027,Sat Dec 02 04:47:06 +0000 2017,0.089,0.806,0.105,9
9,0.7096,Sat Dec 02 04:32:07 +0000 2017,0.0,0.688,0.312,10
10,0.2023,Sat Dec 02 04:25:14 +0000 2017,0.0,0.833,0.167,11
11,0.5994,Sat Dec 02 04:10:55 +0000 2017,0.0,0.754,0.246,12
12,0.2023,Sat Dec 02 04:02:28 +0000 2017,0.0,0.886,0.114,13
13,0.0,Sat Dec 02 03:47:02 +0000 2017,0.0,1.0,0.0,14
14,0.0,Sat Dec 02 03:32:07 +0000 2017,0.0,1.0,0.0,15
15,0.0,Sat Dec 02 03:17:03 +0000 2017,0.0,1.0,0.0,16
16,-0.5106,Sat Dec 02 03:02:04 +0000 2017,0.193,0.807,0.0,17
17,-0.25,Sat Dec 02 02:47:01 +0000 2017,0.155,0.747,0.098,18
18,0.0,Sat Dec 02 02:31:10 +0000 2017,0.0,1.0,0.0,19
19,0.0,Sat Dec 02 02:16:05 +0000 2017,0.0,1.0,0.0,20
20,0.0,Sat Dec 02 06:06:03 +0000 2017,0.0,1.0,0.0,21
21,0.2023,Sat Dec 02 05:52:08 +0000 2017,0.0,0.899,0.101,22
22,0.0,Sat Dec 02 05:34:03 +0000 2017,0.0,1.0,0.0,23
23,0.0,Sat Dec 02 05:32:05 +0000 2017,0.0,1.0,0.0,24
24,0.2263,Sat Dec 02 05:19:13 +0000 2017,0.0,0.913,0.087,25
25,0.0,Sat Dec 02 05:14:09 +0000 2017,0.0,1.0,0.0,26
26,0.1531,Sat Dec 02 05:02:06 +0000 2017,0.139,0.693,0.168,27
27,-0.5106,Sat Dec 02 04:48:43 +0000 2017,0.292,0.708,0.0,28
28,0.1027,Sat Dec 02 04:47:06 +0000 2017,0.089,0.806,0.105,29
29,0.7096,Sat Dec 02 04:32:07 +0000 2017,0.0,0.688,0.312,30
30,0.2023,Sat Dec 02 04:25:14 +0000 2017,0.0,0.833,0.167,31
31,0.5994,Sat Dec 02 04:10:55 +0000 2017,0.0,0.754,0.246,32
